APPID,FellowStatedDate
cca8d6fb-3b33-4dbf-8e42-a4b1016b0bd4,7/14/16
4a3daefa-5a06-4fb4-9710-a4b201713c70,7/1/16
f3547a91-c123-440b-818d-a4b40095ebe9,8/10/16
a92ed0ea-324a-4514-9dcf-a4b7008d4a03,6/17/16
cb00adc5-e7c3-4ba2-ad5a-a4b700fd416f,8/8/16
c4f74b1e-87ec-417d-8416-a4b800dba9d2,8/10/16
b5236b82-4010-4253-bbfc-a4bb01213f1c,8/10/16
b5236b82-4010-4253-bbfc-a4bb01213f1c,8/10/16
811013a5-95c4-4a35-94b9-a4bc00628d1c,9/1/16
ba23d1c4-5caf-4e64-a8f0-a4bc00aff538,7/15/16
f9ffecb8-e978-437d-bf41-a4c00110a783,7/8/16
9f1cdbf2-fdc0-4e36-8fc7-a4c001421435,8/1/16
9d0d2d65-0fac-475f-983a-a4c200ac43e0,5/26/16
fc5a4a0b-e0cf-4524-9cb2-a4c30155cf38,8/12/16
fd110594-2b4d-4b83-8465-a4c400a1c360,8/11/16
b3496808-de34-46d3-8356-a4c40122083f,8/9/16
4ccd35bc-148e-4f55-bc57-a4c500047d07,6/13/16
a9268670-5e2c-498b-9e6c-a4c50010f25f,7/26/16
f3c671b2-f3a1-4649-a628-a4c501794b46,7/29/16
d583b2ca-209c-40df-9f52-a4c800c78d20,8/8/16
d1479c70-fb6a-42f9-a054-a4c8015310c7,9/6/16
0579be9b-7732-4b0a-9bac-a4ca0117368f,9/6/16
1a16c3c0-77e9-43a5-ad3a-a4cc01249b75,8/4/16
e89e0879-5f6f-4442-b37f-a4cd00d9a080,6/21/16
e81c3a35-d9da-4492-a5bb-a4cd0144b540,9/6/16
6de60fba-9997-486e-ab17-a4ce00b0e69b,8/31/16
64cdb212-cbd0-433f-b4bb-a4ce012afeed,7/27/16
42110140-86c9-46dd-b572-a4d0008a22a8,7/17/16
a9e0d6c4-f0af-41a2-9135-a4d0012f89d4,7/28/16
76750455-5cc7-4582-ac9b-a4d0017c9c7d,8/2/16
49465c52-d7d5-4c91-88b6-a4d400ca8f46,6/27/16
dddbcc0b-30ff-4c78-92fd-a4d500ab215b,7/27/16
667b9345-64bc-4a5c-9896-a4d500c768ee,8/13/16
092ad3b3-e843-4282-b598-a4d600b19315,
12b1c457-6346-417e-ba3e-a4d800f7e862,8/17/16
c8fc082f-19e0-4be6-bd10-a4d900c53db0,8/2/16
f694313c-1904-447e-843e-a4da00b3f745,
5f6cedaf-cb40-4ff6-b2fd-a4db004687f7,8/23/16
ff561170-be41-46ac-8e23-a4db00dd3f38,5/20/16
e3d3f794-0d13-4310-b40e-a4db0153996c,8/3/16
37d85ddb-0711-436d-bdc6-a4db016c2db1,6/29/16
ee4b5d56-d35d-46ec-a9a3-a4df00b71868,8/30/16
120faf1b-a210-4b7b-af6a-a4df00d42b45,6/16/16
07655b65-0488-4e7e-a295-a4e200927d27,6/30/16
a683abdb-ad71-407e-ba00-a4e200e69048,7/6/16
57b4b8d1-474f-4254-b46c-a4e300c038e3,8/1/16
0590b889-4ec8-476d-9ae2-a4e301799c39,6/6/16
f841958a-fdd9-46d4-8773-a4e700f1bdd5,7/1/16
4260c2f0-6448-4f12-a391-a4e800f0cabb,7/28/16
36a9bb89-25ee-4979-b943-a4e900932930,7/7/16
04f1d315-4cd9-4115-8893-a4ea00a5092a,7/19/16
8d02907a-c10a-482e-8853-a4ea012e0d38,8/16/16
b41ec92f-b3ac-43a0-8df9-a4eb00b9ffe3,8/20/16
07c04a91-7c32-4e6c-ad22-a4eb00cc01e4,8/10/16
b52e4970-8ee7-44d6-94ba-a4ec0002f8cf,5/12/16
b44acd9f-ce05-4e8b-891f-a4ec00e97f73,7/28/16
b48e88b0-b486-4cad-8025-a4ed00a00a26,8/2/16
