TT2ID,c27id,uni,FC_ID,Cohort,oct_ob_location,oct_Grade,oct_Setting,oct_Subject,oct_obs_date,oct_dom1a,oct_dom1c,oct_dom1e,oct_dom2b,oct_dom2c,oct_dom2d,oct_dom3b,oct_dom3c,oct_dom3d,oct_dom4a,oct_rel_effect
11db3ae7-0ccc-4667-aac7-a3e000242b78,50197,Long Island University,1919,Cohort 27,Q073,8,CTT/ICT,Special Education,14-Oct-16,Developing+,Developing+,Developing+,Developing,Developing+,Effective,Developing,Developing,Developing,Developing,Average
120e9ccc-ead7-4bde-8d85-a4ef016460ba,50342,Pace University,918,Cohort 27,97X186,3,Self-contained,D75,30-Sep-16,Developing+,Developing+,Developing+,Effective,Developing+,Developing+,Developing,Developing+,Developing+,Developing+,Above Average
12b1c457-6346-417e-ba3e-a4d800f7e862,50383,Hunter SPED,1935,Cohort 27,75Q277,K,D75,Special Education,11-Oct-16,Effective,Effective,Effective,Highly Effective,Highly Effective,,Developing+,Developing+,Developing+,Highly Effective,Above Average
12bc7fcf-82b4-4453-a889-a5b100df6660,50885,St. John's University,1686,Cohort 27,X290,9,,Math,22-Sep-16,Effective,Developing+,Effective,Effective,Effective,Highly Effective,Developing,Developing+,Developing+,Effective,Above Average
1311132c-b344-4514-9f80-a50e008b3705,50413,St. John's University,1857,Cohort 27,22K278,6,Self-contained,Special Education,21-Sep-16,Developing,Developing,Developing,Developing,Developing,Developing+,Developing,Developing,Developing,Developing,Average
1360ea15-353e-4586-85cf-a55500a8befd,51044,Long Island University,1758,Cohort 27,17k002,7,CTT/ICT,Special Education,30-Sep-16,Developing+,Developing+,Developing,Developing,Developing+,Developing,Developing+,Developing,Developing,Developing+,Average
138f7cf0-7671-4aef-bafd-a53800b8e57e,50488,Pace University,953,Cohort 27,Q256@p43,3,D75,D75,28-Sep-16,Developing,Developing,Developing,Developing+,Developing,Developing,Developing+,Developing+,Developing+,Developing+,Average
13d283ce-a85f-4d5b-a640-a37f01680218,50134,Brooklyn College,1801,,,6,N/A,,14-Oct-16,Developing+,Developing+,Developing+,Developing+,Developing+,Developing+,Developing+,Developing+,Developing+,Developing+,Average
13d34a60-8e59-45be-831a-a511004f4329,50507,Lehman College,2012,Cohort 27,x101,8,N/A,Math,6-Oct-16,Effective,Effective,Developing+,Developing+,Effective,Developing+,Developing,Developing,Developing+,Effective,Average
13eeb8d5-0d68-4459-8304-a4ef00f18af9,50340,Pace University,1796,Cohort 27,K525,11,,Science,26-Sep-16,Developing+,Developing,Developing,Developing,Developing+,Developing+,Developing,Developing,Developing,Developing,Average
13faf3af-f2f0-4aec-b33a-a540010bc5c7,50894,Long Island University,1780,Cohort 27,K519,10,CTT/ICT,Special Education,30-Sep-16,Developing,Developing,Developing,Developing+,Developing+,Developing+,Developing,Developing+,Developing,Developing+,Average
14069bff-1a1a-4188-a57c-a5840143a2fe,50943,Long Island University,1808,Cohort 27,K525,9,CTT/ICT,Special Education,14-Oct-16,Effective+,Effective+,Effective+,Effective+,Effective,Effective+,Effective,Effective+,Effective+,Effective+,Top 10%
1407ab8f-e2ae-488a-ac50-a4450135d0ea,50254,Brooklyn College,112,,,10,CTT/ICT,,11-Oct-16,Effective,Effective,Effective,Effective+,Effective+,Effective+,Effective,Effective,Effective,Effective+,Above Average
14572c58-f543-4c82-afb9-a44000cf4853,50261,Hunter SPED,250,Cohort 27,M811,1,Self-contained,Special Education,17-Oct-17,Developing+,Developing+,Developing+,Developing+,Developing+,Developing+,Developing+,Developing+,Developing+,Developing+,Top 10%
14643f90-d6c8-4e2e-9580-a50e0111ad41,50450,Hunter SPED,1940,Cohort 27,168X,1,D75,D75,19-Oct-16,Effective,Effective,Effective,Effective,Effective,Effective,Effective,Effective,Developing+,Effective,Average
14a86566-7033-471f-9b93-a43501737151,50152,St. John's University,1839,Cohort 27,K162,8,CTT/ICT,Special Education,15-Sep-16,Developing+,Developing,Developing+,Developing+,Developing+,Developing+,Developing+,Developing+,Developing+,Developing+,Average
153245ab-d08c-4081-b01f-a5b601416e2c,50919,St. John's University,1830,Cohort 27,M680,9,CTT/ICT,Special Education,22-Sep-16,Highly Effective,Highly Effective,Highly Effective,Highly Effective,Highly Effective,Highly Effective,Highly Effective,Highly Effective,Highly Effective,Highly Effective,Top 10%
15c69011-8041-40dc-a8f1-a40e00cb5a44,50203,Pace University,2069,Cohort 27,9X252,10,Self-contained,Special Education,5-Oct-16,Developing,Ineffective,Developing,Developing,Ineffective,Developing,Developing,Developing,Developing,Developing,Average
167d5400-d62a-4544-8d50-a57e01314ea9,51096,City College,1835,Cohort 27,X035,2,,ESL,14-Oct-16,Effective,Effective,Effective,Developing+,Effective,Effective,Developing+,Developing+,Developing+,Developing+,Above Average
1682e764-2892-4d21-b1f2-a57d012c9479,50875,Pace University,1810,Cohort 27,M400,9,N/A,Science,7-Oct-16,Developing+,Developing+,Developing+,Effective,Effective,Effective+,Effective,Effective,Effective,Developing,Top 10%
176230d1-5fb9-446d-964f-a53900eabb84,50889,City College,1822,Cohort 27,Q480,9,N/A,Spanish,19-Oct-16,Developing,Developing,Developing,Developing,Developing,Developing,Developing,Developing,Developing,Developing,Average
17633809-7705-4abc-9d92-a5350092a50e,50550,St. John's University,1843,Cohort 27,X250,9,CTT/ICT,Math,19-Sep-16,Developing+,Developing,Developing,Developing+,Developing+,Developing+,Developing,Developing,Developing,Developing,Above Average
1769e11e-b362-457d-9736-a562013cb922,50667,City College,1929,Cohort 27,6M293,8,,ESL,13-Oct-16,Developing,Developing,Developing,Developing+,Developing+,Developing+,Developing,Developing,Developing,Developing+,Average
177666d5-7e48-4228-87b7-a57c013c6410,50874,Pace University,238,Cohort 27,97m138,7,Self-contained,D75,29-Sep-16,Ineffective,Developing,Ineffective,Developing,Developing,Ineffective,Developing,Ineffective,Ineffective,Developing,Below Average
177e5790-e2ad-49f4-aeb2-a43d016b1c60,50293,Brooklyn College,219,,,7,,,30-Sep-16,Effective,Effective,Developing,Developing+,Developing+,Developing+,Developing+,Developing+,Developing,Developing+,Average
178914ba-76c2-43b4-8c29-a598011be065,51182,Pace University,935,Cohort 27,K97@K396,9,Self-contained,D75,7-Oct-16,Developing,Developing,Developing,Developing,Developing,Developing,Developing,Developing,Developing,Developing,Average
